repository_language,count_language
JavaScript,13010395
Java,8316343
Ruby,7166015
Python,6401141
PHP,6075169
C++,3988833
C,3755877
Shell,2113256
C#,1494426
Objective-C,1208359
Perl,1151553
CSS,1102873
VimL,865713
Scala,491773
CoffeeScript,452704
Emacs Lisp,369477
Haskell,341485
Go,317325
Lua,296573
Clojure,261358
R,206804
Erlang,172027
Groovy,172001
Matlab,171083
Puppet,166330
ActionScript,161388
OCaml,90989
D,84468
Common Lisp,69522
Arduino,62449
Rust,55095
Scheme,51134
Assembly,50885
Delphi,49939
Racket,47457
Visual Basic,47394
Dart,45583
ASP,44083
FORTRAN,43666
TypeScript,41504
Logos,41404
Prolog,35411
ColdFusion,34901
PowerShell,33841
Julia,32688
Standard ML,29970
F#,29096
HaXe,26618
VHDL,25821
Verilog,24912
XSLT,21488
Processing,20817
Elixir,18837
Tcl,17178
Haxe,16372
Vala,15685
XML,15648
Smalltalk,13943
Coq,11985
OpenEdge ABL,11632
AutoHotkey,11369
DOT,10338
Factor,8582
Objective-J,8483
Ada,8420
Apex,8411
SuperCollider,7858
Eiffel,7489
Pascal,6732
Scilab,5598
Nemerle,4952
Pure Data,4784
Parrot,4696
Lasso,4667
XQuery,4551
DCPU-16 ASM,4199
LiveScript,3882
Kotlin,3864
ooc,2836
AppleScript,2770
Io,2642
Gosu,2550
Nimrod,2462
Dylan,2344
M,2027
Boo,1663
Logtalk,1441
Awk,1440
Powershell,1425
Slash,1399
Xtend,1249
Rebol,1108
Ceylon,1047
Arc,1030
Opa,997
XC,911
Mirah,890
Fancy,838
Turing,817
Augeas,747
Bro,688
Ioke,623
MoonScript,481
Nu,451
Ecl,419
Squirrel,414
Max/MSP,412
Max,409
Self,383
CLIPS,339
Elm,324
Monkey,303
Modelica,279
Forth,277
XProc,257
Ragel in Ruby Host,232
Pike,206
Fantom,195
eC,158
PogoScript,116
J,62
wisp,49
COBOL,42
ABAP,35
Rouge,22
Volt,7
DCPU-16 ASM,6
Omgrofl,2
TXL,2
