sc_JavaScript,sc_Java,sc_C++,sc_Objective-C,sc_Ruby,sc_D,sc_Python,sc_Haskell,sc_C#,sc_PHP,concat(payload_pull_request_head_repo_language:freq_in),user,cluster
90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JavaScript:ENORMOUS|Ruby:SMALL,0ip,cluster_8
0.0,457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JavaScript:SMALL|Java:HIGH,0x64746b,cluster_5
0.0,0.0,8.0,97.0,10.0,0.0,0.0,0.0,0.0,0.0,Objective-C:ENORMOUS,0xced,cluster_1
0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Java:HIGH,0xffea,cluster_1
65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JavaScript:HIGH|C:MEDIUM|Perl:SMALL,10gen-interns,cluster_3
0.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,Ruby:MEDIUM,10xlab,cluster_9
0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,D:HIGH,1100110,cluster_1
0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,JavaScript:SMALL|Ruby:MEDIUM,12spokes,cluster_7
0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,Python:ENORMOUS,130s,cluster_1
0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,Java:SMALL|Ruby:ENORMOUS,1337807,cluster_7
0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C++:ENORMOUS,1942rob,cluster_1
38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JavaScript:MEDIUM,1l2p,cluster_3
0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,Ruby:MEDIUM,1syo,cluster_9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,Haskell:HIGH|Ruby:MEDIUM,23Skidoo,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,C#:MEDIUM|Java:SMALL,24hr,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Python:MEDIUM|Erlang:MEDIUM,2600hz,cluster_1
0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Java:HIGH,28Black,cluster_1
0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,Ruby:MEDIUM,2a6U37Nn,cluster_7
0.0,0.0,0.0,0.0,1720.0,0.0,0.0,0.0,0.0,0.0,Ruby:ENORMOUS,2bits,cluster_9
42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JavaScript:HIGH,2ga,cluster_3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C:ENORMOUS|C++:HIGH,2youyouo2,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,Python:SMALL,3ft9,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TypeScript:HIGH|C:SMALL|C++:ENORMOUS,3nids,cluster_1
0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,Ruby:MEDIUM,3ofcoins,cluster_7
0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,Ruby:MEDIUM,3qilabs,cluster_7
101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,PHP:MEDIUM|Ruby:SMALL,3rd-Eden,cluster_8
0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Java:MEDIUM,3stadt,cluster_1
0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Java:MEDIUM,410-VS,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,PHP:MEDIUM,4Vs,cluster_4
0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C++:ENORMOUS,4m1g0,cluster_1
51.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,Python:MEDIUM,4ndreaSt4gi,cluster_3
165.0,0.0,0.0,0.0,0.0,0.0,668.0,0.0,0.0,0.0,Python:MEDIUM,4teamwork,cluster_6
83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JavaScript:MEDIUM,4z3,cluster_8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,PHP:MEDIUM,50573750,cluster_4
0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Java:HIGH,50Wliu,cluster_1
0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Java:ENORMOUS,5AMSolutions,cluster_1
0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,Ruby:MEDIUM|JavaScript:SMALL,5fpro,cluster_7
0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,Ruby:MEDIUM,5long,cluster_7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,C#:MEDIUM,68x,cluster_1
93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JavaScript:ENORMOUS,6a68,cluster_8
0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,Ruby:MEDIUM,6fusion,cluster_7
0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Java:SMALL,6uimorais,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F#:MEDIUM,7sharp9,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,PHP:ENORMOUS,810,cluster_4
0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Java:MEDIUM|JavaScript:SMALL,88250,cluster_1
0.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,36.0,Ruby:MEDIUM,99designs,cluster_9
90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JavaScript:MEDIUM,9ci,cluster_8
0.0,0.0,0.0,0.0,0.0,506.0,0.0,0.0,0.0,0.0,C:ENORMOUS,9rnsr,cluster_1
0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Java:HIGH,A24Group,cluster_1
5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,Python:SMALL|VimL:SMALL,AD7six,cluster_1
