'fabpot', 'PHP', 'Shell', 'JavaScript'
'weierophinney', 'PHP', 'Shell', 'VimL'
'visionmedia', 'JavaScript', 'C', 'Shell'
'tmcw', 'JavaScript', 'Python', 'CSS'
'c9s', 'Perl', 'PHP', 'VimL'
'jdalton', 'JavaScript', 'Ruby', 'PHP'
'tokuhirom', 'Perl', 'JavaScript', 'C'
'substack', 'JavaScript', 'Shell', 'Haskell'
'taylorotwell', 'PHP', 'JavaScript', 'Perl'
'dominictarr', 'JavaScript', 'Shell', 'Ruby'
'fsouza', 'Python', 'JavaScript', 'Go'
'ekmett', 'Haskell', 'Shell', 'C'
'michaelklishin', 'Ruby', 'Clojure', 'Shell'
'markstory', 'PHP', 'JavaScript', 'Shell'
'zenorocha', 'JavaScript', 'Ruby', 'Shell'
'lepture', 'Python', 'JavaScript', 'CSS'
'kripken', 'JavaScript', 'C', 'Shell'
'jspahrsummers', 'Objective-C', 'Shell', 'C'
'dcramer', 'Python', 'JavaScript', 'Shell'
'pippinsplugins', 'PHP', 'JavaScript', 'Shell'
'sferik', 'Ruby', 'JavaScript', 'Shell'
'Raynos', 'JavaScript', 'Shell', 'CoffeeScript'
'mdo', 'CSS', 'JavaScript'
'kennethreitz', 'Python', 'Shell', 'JavaScript'
'balupton', 'JavaScript', 'CoffeeScript', 'Shell'
'ornicar', 'PHP', 'JavaScript', 'Scala'
'springmeyer', 'C++', 'Python', 'Shell'
'mitchellh', 'Ruby', 'Go', 'Shell'
'fogus', 'Clojure', 'JavaScript', 'Scala'
'jeromeetienne', 'JavaScript', 'Shell', 'Python'
'radar', 'Ruby', 'JavaScript', 'CoffeeScript'
'jordansissel', 'Ruby', 'Shell', 'JavaScript'
'Shougo', 'VimL', 'Shell', 'C'
'postmodern', 'Ruby', 'Shell', 'JavaScript'
'gka', 'Python', 'JavaScript', 'ActionScript'
'drnic', 'Ruby', 'JavaScript', 'Shell'
'josevalim', 'Ruby', 'JavaScript', 'Python'
'randx', 'Ruby', 'JavaScript', 'Python'
'lifesinger', 'JavaScript', 'PHP', 'CSS'
'andrewsmedina', 'Python', 'JavaScript', 'Go'
'lsmith77', 'PHP', 'JavaScript', 'Shell'
'rvagg', 'JavaScript', 'C++', 'Shell'
'hueniverse', 'JavaScript', 'Shell', 'Perl'
'scribu', 'PHP', 'JavaScript', 'Ruby'
'mattn', 'VimL', 'Go', 'C'
'benbalter', 'JavaScript', 'PHP', 'Ruby'
'maxogden', 'JavaScript', 'Ruby', 'Python'
'ednapiranha', 'JavaScript', 'Python', 'CSS'
'alex', 'Python', 'JavaScript', 'Shell'
'jtimberman', 'Ruby', 'Shell', 'JavaScript'
'ujihisa', 'Ruby', 'VimL', 'Clojure'
'sindresorhus', 'JavaScript', 'Python', 'CSS'
'kohsuke', 'Java', 'Shell', 'JavaScript'
'paulmillr', 'JavaScript', 'CoffeeScript', 'Shell'
'kytrinyx', 'Ruby', 'JavaScript', 'Shell'
'JakeWharton', 'Java', 'Shell', 'Python'
'willdurand', 'PHP', 'Ruby', 'Shell'
'dg', 'PHP', 'JavaScript', 'CSS'
'rstacruz', 'Ruby', 'JavaScript', 'CoffeeScript'
'pydanny', 'Python', 'JavaScript', 'Shell'
'steveklabnik', 'Ruby', 'JavaScript', 'CoffeeScript'
'snoyberg', 'Haskell', 'Shell', 'C'
'aheckmann', 'JavaScript', 'Shell', 'Python'
'yihui', 'R', 'Shell', 'JavaScript'
'hadley', 'R', 'JavaScript', 'C++'
'samuelclay', 'JavaScript', 'Python', 'Ruby'
'Ocramius', 'PHP', 'Shell', 'JavaScript'
'isaacs', 'JavaScript', 'Shell', 'C++'
'rafaelfranca', 'Ruby', 'Shell', 'JavaScript'
'ayende', 'C#', 'ASP', 'JavaScript'
'igorw', 'PHP', 'Shell', 'JavaScript'
'davglass', 'JavaScript', 'Shell', 'PHP'
'dustin', 'Go', 'Python', 'Ruby'
'svenfuchs', 'Ruby', 'JavaScript', 'VimL'
'bergie', 'JavaScript', 'PHP', 'CoffeeScript'
